CPF-Source-ID-Anchor	CPF-Type	CPF-Relation-Type	CPF-Source-ID-Target	RD-Type	RD-Relation-Type	RD-Source-ID
24877.r001	person	associatedWith	24877.c01	ArchivalResource	referencedIn	24877.xml
24862.c01	person	correspondedWith	24862.r001	ArchivalResource	creatorOf	24862.xml
	person	correspondedWith	24862.r002
	person	correspondedWith	24862.r003
	person	associatedWith	24862.r004
	person	correspondedWith	24862.r005
	person	associatedWith	24862.r006
	person	correspondedWith	24862.r007
	person	correspondedWith	24862.r008
	person	correspondedWith	24862.r009
	family	associatedWith	24862.r010
	family	correspondedWith	24862.r011
	corporateBody	associatedWith	24862.r012
24862.r001	person	correspondedWith	24862.c01	ArchivalResource	referencedIn	24862.xml
24862.r002	person	correspondedWith	24862.c01	ArchivalResource	referencedIn	24862.xml
24862.r003	person	correspondedWith	24862.c01	ArchivalResource	referencedIn	24862.xml
24862.r004	person	associatedWith	24862.c01	ArchivalResource	referencedIn	24862.xml
24862.r005	person	correspondedWith	24862.c01	ArchivalResource	referencedIn	24862.xml
24862.r006	person	associatedWith	24862.c01	ArchivalResource	referencedIn	24862.xml
24862.r007	person	correspondedWith	24862.c01	ArchivalResource	referencedIn	24862.xml
24862.r008	person	correspondedWith	24862.c01	ArchivalResource	referencedIn	24862.xml
24862.r009	person	correspondedWith	24862.c01	ArchivalResource	referencedIn	24862.xml
24862.r010	person	associatedWith	24862.c01	ArchivalResource	referencedIn	24862.xml
24862.r011	person	correspondedWith	24862.c01	ArchivalResource	referencedIn	24862.xml
24862.r012	person	associatedWith	24862.c01	ArchivalResource	referencedIn	24862.xml
24876.c01	person	correspondedWith	24876.r001	ArchivalResource	creatorOf	24876.xml
	person	correspondedWith	24876.r002
	person	correspondedWith	24876.r003
	person	correspondedWith	24876.r004
	corporateBody	associatedWith	24876.r005
24876.r001	person	correspondedWith	24876.c01	ArchivalResource	referencedIn	24876.xml
24876.r002	person	correspondedWith	24876.c01	ArchivalResource	referencedIn	24876.xml
24876.r003	person	correspondedWith	24876.c01	ArchivalResource	referencedIn	24876.xml
24876.r004	person	correspondedWith	24876.c01	ArchivalResource	referencedIn	24876.xml
24876.r005	person	associatedWith	24876.c01	ArchivalResource	referencedIn	24876.xml
29942.c01	person	associatedWith	29942.r001	ArchivalResource	creatorOf	29942.xml
	person	associatedWith	29942.r002
	person	associatedWith	29942.r003
	corporateBody	associatedWith	29942.r004
29942.r001	person	associatedWith	29942.c01	ArchivalResource	referencedIn	29942.xml
29942.r002	person	associatedWith	29942.c01	ArchivalResource	referencedIn	29942.xml
29942.r003	person	associatedWith	29942.c01	ArchivalResource	referencedIn	29942.xml
29942.r004	person	associatedWith	29942.c01	ArchivalResource	referencedIn	29942.xml
25822.c01	person	associatedWith	25822.r001	ArchivalResource	creatorOf	25822.xml
	person	correspondedWith	25822.r002
25822.r001	person	associatedWith	25822.c01	ArchivalResource	referencedIn	25822.xml
25822.r002	person	correspondedWith	25822.c01	ArchivalResource	referencedIn	25822.xml
28385.c01	person	correspondedWith	28385.r001	ArchivalResource	creatorOf	28385.xml
28385.r001	person	correspondedWith	28385.c01	ArchivalResource	referencedIn	28385.xml
28384.c01	person	correspondedWith	28384.r001	ArchivalResource	creatorOf	28384.xml
	person	correspondedWith	28384.r002
28384.r001	person	correspondedWith	28384.c01	ArchivalResource	referencedIn	28384.xml
28384.r002	person	correspondedWith	28384.c01	ArchivalResource	referencedIn	28384.xml
29932.c01	person	associatedWith	29932.r001	ArchivalResource	creatorOf	29932.xml
29932.r001	person	associatedWith	29932.c01	ArchivalResource	referencedIn	29932.xml
29926.c01	person	correspondedWith	29926.r001	ArchivalResource	creatorOf	29926.xml
29926.r001	person	correspondedWith	29926.c01	ArchivalResource	referencedIn	29926.xml
28386.c01	person	correspondedWith	28386.r001	ArchivalResource	creatorOf	28386.xml
28386.r001	person	correspondedWith	28386.c01	ArchivalResource	referencedIn	28386.xml
24580.c01	person	associatedWith	24580.r001	ArchivalResource	creatorOf	24580.xml
	person	associatedWith	24580.r002
	person	associatedWith	24580.r003
	person	associatedWith	24580.r004
	person	associatedWith	24580.r005
	person	associatedWith	24580.r006
	person	associatedWith	24580.r007
	person	associatedWith	24580.r008
	person	associatedWith	24580.r009
	person	associatedWith	24580.r010
	person	associatedWith	24580.r011
	person	associatedWith	24580.r012
	person	associatedWith	24580.r013
	person	associatedWith	24580.r014
24580.r001	person	associatedWith	24580.c01	ArchivalResource	referencedIn	24580.xml
24580.r002	person	associatedWith	24580.c01	ArchivalResource	referencedIn	24580.xml
24580.r003	person	associatedWith	24580.c01	ArchivalResource	referencedIn	24580.xml
24580.r004	person	associatedWith	24580.c01	ArchivalResource	referencedIn	24580.xml
24580.r005	person	associatedWith	24580.c01	ArchivalResource	referencedIn	24580.xml
24580.r006	person	associatedWith	24580.c01	ArchivalResource	referencedIn	24580.xml
24580.r007	person	associatedWith	24580.c01	ArchivalResource	referencedIn	24580.xml
24580.r008	person	associatedWith	24580.c01	ArchivalResource	referencedIn	24580.xml
24580.r009	person	associatedWith	24580.c01	ArchivalResource	referencedIn	24580.xml
24580.r010	person	associatedWith	24580.c01	ArchivalResource	referencedIn	24580.xml
24580.r011	person	associatedWith	24580.c01	ArchivalResource	referencedIn	24580.xml
24580.r012	person	associatedWith	24580.c01	ArchivalResource	referencedIn	24580.xml
24580.r013	person	associatedWith	24580.c01	ArchivalResource	referencedIn	24580.xml
24580.r014	person	associatedWith	24580.c01	ArchivalResource	referencedIn	24580.xml
24620.r001	corporateBody	associatedWith	24620.c01	ArchivalResource	referencedIn	24620.xml
24620.c01	person	associatedWith	24620.r001	ArchivalResource	creatorOf	24620.xml
24618.c01	person	associatedWith	24618.r001	ArchivalResource	creatorOf	24618.xml
	person	associatedWith	24618.r002
	person	associatedWith	24618.r003
	person	associatedWith	24618.r004
	person	associatedWith	24618.r005
	person	associatedWith	24618.r006
	person	associatedWith	24618.r007
	person	associatedWith	24618.r008
	person	associatedWith	24618.r009
	person	associatedWith	24618.r010
	person	associatedWith	24618.r011
	person	associatedWith	24618.r012
	person	associatedWith	24618.r013
	person	associatedWith	24618.r014
	person	associatedWith	24618.r015
	person	associatedWith	24618.r016
	person	associatedWith	24618.r017
	person	associatedWith	24618.r018
	person	associatedWith	24618.r019
	person	associatedWith	24618.r020
	corporateBody	associatedWith	24618.r021
24618.r001	person	associatedWith	24618.c01	ArchivalResource	referencedIn	24618.xml
24618.r002	person	associatedWith	24618.c01	ArchivalResource	referencedIn	24618.xml
